Zip,City,SRO, 0 BR, 1BR, 2BR, 3BR, 4BR, 5BR, 6BR, 7 BR, 8 BR,avg_per_bed,Neighborhood
2108,Boston - Beacon Hill,2449,3266,3518,4179,5051,5565,6400,7235,8070,8904,1855.5674603174605,Beacon Hill
2109,Boston/Boston,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456,Downtown
2109,Boston/Boston,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456,nan
2110,Boston - Financial Disctrict/Boston - Financial Disctrict,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456,Downtown
2110,Boston - Financial Disctrict/Boston - Financial Disctrict,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456,Financial Disctrict/Boston
2111,Boston - Chinatown ,2272,3030,3250,3870,4680,5150,5922,6695,7467,8240,1717.7164021164022,Chinatown
2113,Boston - North End/Boston - North End,2127,2836,3046,3623,4380,4821,5543,6267,6989,7713,1608.2670634920637,North End/Boston
2113,Boston - North End/Boston - North End,2127,2836,3046,3623,4380,4821,5543,6267,6989,7713,1608.2670634920637,West End
2114,Boston - West End,2490,3320,3570,4240,5130,5650,6497,7345,8192,9040,1884.0391534391536,West End
2115,Boston - Fenway/Boston - Fenway,1820,2426,2607,3100,3749,4129,4748,5367,5987,6606,1376.6724867724868,Fenway/Boston
2115,Boston - Fenway/Boston - Fenway,1820,2426,2607,3100,3749,4129,4748,5367,5987,6606,1376.6724867724868,Longwood
2116,Boston - Back Bay,2591,3455,3718,4421,5346,5892,6775,7659,8542,9426,1963.170634920635,Back Bay
2118,Boston - South End / Roxbury/Boston - South End / Roxbury/Boston - South End / Roxbury,1732,2309,2481,2950,3600,3950,4518,5107,5697,6287,1311.8887566137566,South End
2118,Boston - South End / Roxbury/Boston - South End / Roxbury/Boston - South End / Roxbury,1732,2309,2481,2950,3600,3950,4518,5107,5697,6287,1311.8887566137566,Roxbury/Boston
2118,Boston - South End / Roxbury/Boston - South End / Roxbury/Boston - South End / Roxbury,1732,2309,2481,2950,3600,3950,4518,5107,5697,6287,1311.8887566137566,South End
2119,Boston - Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Roxbury
2120,Boston - Roxbury/Boston - Roxbury,1673,2230,2397,2850,3446,3796,4365,4934,5504,6074,1265.6150793650793,Mission Hill
2120,Boston - Roxbury/Boston - Roxbury,1673,2230,2397,2850,3446,3796,4365,4934,5504,6074,1265.6150793650793,Roxbury/Boston
2121,Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Dorchester
2121,Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Roxbury
2121,Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Roxbury
2121,Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury/Boston - Dorchester / Roxbury,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Roxbury/Boston
2122,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Dorchester
2124,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Dorchester
2125,Boston - Dorchester,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Dorchester
2126,Boston - Mattapan,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,Mattapan
2127,Boston - South Boston ,1905,2540,2730,3250,3930,4330,4979,5629,6278,6928,1442.7026455026455,South Boston
2128,Boston - East Boston,1659,2212,2377,2827,3418,3765,4329,4894,5459,6024,1255.2674603174603,East Boston
2129,Boston - Charlestown,2190,2920,3140,3730,4510,4970,5715,6461,7206,7952,1657.121693121693,Charlestown
2130,Boston - Jamaica Plain,1875,2500,2680,3190,3860,4250,4887,5525,6162,6800,1416.9650793650794,Jamaica Plain
2131,Boston - Roslindale,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688,Roslindale
2132,Boston - West Roxbury,1745,2326,2499,2972,3594,3959,4552,5146,5739,6333,1319.8109788359789,West Roxbury
2134,Boston - Allston,1820,2426,2607,3100,3749,4129,4748,5367,5987,6606,1376.6724867724868,Allston
2135,Boston - Brighton,1920,2560,2750,3270,3950,4350,5002,5655,6307,6960,1451.451851851852,Brighton
2136,Boston - Hyde Park ,1743,2324,2497,2969,3590,3955,4547,5140,5734,6327,1318.555687830688,Hyde Park
2138,Cambridge/Cambridge/Cambridge/Cambridge,2536,3381,3633,4326,5229,5765,6629,7494,8358,9224,1920.3388888888887,Strawberry Hill
2138,Cambridge/Cambridge/Cambridge/Cambridge,2536,3381,3633,4326,5229,5765,6629,7494,8358,9224,1920.3388888888887,West Cambridge
2138,Cambridge/Cambridge/Cambridge/Cambridge,2536,3381,3633,4326,5229,5765,6629,7494,8358,9224,1920.3388888888887,Baldwin
2138,Cambridge/Cambridge/Cambridge/Cambridge,2536,3381,3633,4326,5229,5765,6629,7494,8358,9224,1920.3388888888887,Cambridge Highlands
2139,Cambridge/Cambridge/Cambridge/Cambridge/Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.071031746032,Mid-Cambridge
2139,Cambridge/Cambridge/Cambridge/Cambridge/Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.071031746032,Riverside
2139,Cambridge/Cambridge/Cambridge/Cambridge/Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.071031746032,The Port
2139,Cambridge/Cambridge/Cambridge/Cambridge/Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.071031746032,Cambridgeport
2139,Cambridge/Cambridge/Cambridge/Cambridge/Cambridge,2474,3298,3539,4211,5094,5608,6449,7290,8132,8973,1870.071031746032,Area 2/MIT
2140,Cambridge/Cambridge,2244,2993,3213,3822,4620,5093,5856,6621,7384,8148,1697.5896825396824,North Cambridge
2140,Cambridge/Cambridge,2244,2993,3213,3822,4620,5093,5856,6621,7384,8148,1697.5896825396824,Neighborhood Nine
2141,Cambridge/Cambridge,2197,2930,3151,3749,4537,4989,5736,6485,7233,7982,1663.7947089947088,Wellington-Harrington
2141,Cambridge/Cambridge,2197,2930,3151,3749,4537,4989,5736,6485,7233,7982,1663.7947089947088,East Cambridge
2163,Boston - Harvard Business,2407,3210,3450,4100,4960,5460,6279,7098,7917,8736,1821.1259259259257,Harvard Business
2199,Boston - Downtown,2615,3486,3749,4452,5387,5933,6822,7713,8602,9492,1978.3526455026456,Downtown
2210,Boston - Seaport/Boston - Seaport,2490,3320,3570,4240,5130,5650,6497,7345,8192,9040,1884.0391534391536,Seaport/Boston
2210,Boston - Seaport/Boston - Seaport,2490,3320,3570,4240,5130,5650,6497,7345,8192,9040,1884.0391534391536,South Boston Waterfront
2215,Boston - Kenmore/Boston - Kenmore,2212,2950,3170,3770,4560,5020,5773,6526,7279,8032,1674.0137566137566,Fenway
2215,Boston - Kenmore/Boston - Kenmore,2212,2950,3170,3770,4560,5020,5773,6526,7279,8032,1674.0137566137566,Kenmore/Boston
