,Neighborhood,avg_per_bed
0,Allston/Brighton,1549.7500881834214
1,Back Bay/Beacon Hill,1932.3635802469137
2,Central Boston,1833.3455820105821
3,Charlestown,1657.121693121693
4,Dorchester,1255.2674603174603
5,East Boston,1255.2674603174603
6,Fenway/Kenmore,1525.3431216931217
7,Hyde Park,1318.555687830688
8,Jamaica Plain,1416.9650793650794
9,Mattapan,1255.2674603174603
10,Roslindale,1318.555687830688
11,Roxbury,1258.7166666666665
12,South Boston,1663.3708994708995
13,South End,1311.8887566137566
14,West Roxbury,1319.8109788359789
