"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B08301_001E","Estimate!!Total"
"B08301_001M","Margin of Error!!Total"
"B08301_002E","Estimate!!Total!!Car, truck, or van"
"B08301_002M","Margin of Error!!Total!!Car, truck, or van"
"B08301_003E","Estimate!!Total!!Car, truck, or van!!Drove alone"
"B08301_003M","Margin of Error!!Total!!Car, truck, or van!!Drove alone"
"B08301_004E","Estimate!!Total!!Car, truck, or van!!Carpooled"
"B08301_004M","Margin of Error!!Total!!Car, truck, or van!!Carpooled"
"B08301_005E","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool"
"B08301_005M","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 2-person carpool"
"B08301_006E","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool"
"B08301_006M","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 3-person carpool"
"B08301_007E","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool"
"B08301_007M","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 4-person carpool"
"B08301_008E","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool"
"B08301_008M","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 5- or 6-person carpool"
"B08301_009E","Estimate!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool"
"B08301_009M","Margin of Error!!Total!!Car, truck, or van!!Carpooled!!In 7-or-more-person carpool"
"B08301_010E","Estimate!!Total!!Public transportation (excluding taxicab)"
"B08301_010M","Margin of Error!!Total!!Public transportation (excluding taxicab)"
"B08301_011E","Estimate!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus"
"B08301_011M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Bus or trolley bus"
"B08301_012E","Estimate!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)"
"B08301_012M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Streetcar or trolley car (carro publico in Puerto Rico)"
"B08301_013E","Estimate!!Total!!Public transportation (excluding taxicab)!!Subway or elevated"
"B08301_013M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Subway or elevated"
"B08301_014E","Estimate!!Total!!Public transportation (excluding taxicab)!!Railroad"
"B08301_014M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Railroad"
"B08301_015E","Estimate!!Total!!Public transportation (excluding taxicab)!!Ferryboat"
"B08301_015M","Margin of Error!!Total!!Public transportation (excluding taxicab)!!Ferryboat"
"B08301_016E","Estimate!!Total!!Taxicab"
"B08301_016M","Margin of Error!!Total!!Taxicab"
"B08301_017E","Estimate!!Total!!Motorcycle"
"B08301_017M","Margin of Error!!Total!!Motorcycle"
"B08301_018E","Estimate!!Total!!Bicycle"
"B08301_018M","Margin of Error!!Total!!Bicycle"
"B08301_019E","Estimate!!Total!!Walked"
"B08301_019M","Margin of Error!!Total!!Walked"
"B08301_020E","Estimate!!Total!!Other means"
"B08301_020M","Margin of Error!!Total!!Other means"
"B08301_021E","Estimate!!Total!!Worked at home"
"B08301_021M","Margin of Error!!Total!!Worked at home"
